function,Parameter,Value,period,Desc
calc_main_benefit,PP_S_athresh_mult,24.6,year,"PPS increase in abatement, per extra child"
calc_main_benefit,PP_C_P_Threshold,937,fortnight,PPC Partner Income Threshold
calc_main_benefit,PP_C_I_Threshold_1,104,year,PPC Individual Income Threshold 1 
calc_main_benefit,PP_C_I_Threshold_2,254,year,PPC Individual Income Threshold 2
calc_main_benefit,PP_S_arate,0.4,year,PPS abatement rate
calc_main_benefit,PP_C_arate_1,0.5,year,PPC abatement rate 1
calc_main_benefit,PP_C_arate_2,0.6,year,PPC abatement rate 2
calc_family_benefit,fam_base_threshold,94316,year,Base abatement threshold FTB-A
calc_family_benefit,fam_max_threshold,51903,fortnight,Maximum rate first abatement threshold FTB-A
calc_family_benefit,fam_basic_pay,58.66,fortnight,Base rate payment Family Tax Benefit Part A
calc_family_benefit,fam_base_rate,0.1,fortnight,Additional income abatement after crossing the base rate
calc_family_benefit,fam_max_rate,0.2,fortnight,Abatement after crossing the max rate
calc_family_benefit,fam_a_highATI_rate,0.3,fortnight,Alternative abatement when past base rate
calc_family_benefit,fam_b_threshold,100000,year,Income threshold for FTB B 
calc_family_benefit,fam_be_low_thresh,5548,year,Income threshold for the lower income earner
calc_family_benefit,super_cont_rate,0.095,,Mandatory rate of superannuation in Australia for the financial year
calc_family_benefit,fam_a_young_pay,182.84,fortnight,Payment per young child
calc_family_benefit,fam_a_old_pay,237.86,fortnight,Payment per old child
calc_family_benefit,fam_b_young_pay,155.54,fortnight,Payment for children under 5 
calc_family_benefit,fam_b_old_pay,108.64,fortnight,Payment for children between 5 to 18 
calc_benefit_abated,partner_thresh,937,,"Partner threshold, no children"
calc_benefit_abated,partner_thresh_dep,937,,"Partner threshold, children"
calc_benefit_abated,partner_abate,0.6,,Rate reduced by partner threshold
calc_HECS,HECS_Threshold_1,54868,year,HECS Threshold/Rate
calc_HECS,HECS_Threshold_2,61119,year,HECS Threshold/Rate
calc_HECS,HECS_Threshold_3,67368,year,HECS Threshold/Rate
calc_HECS,HECS_Threshold_4,70909,year,HECS Threshold/Rate
calc_HECS,HECS_Threshold_5,76222,year,HECS Threshold/Rate
calc_HECS,HECS_Threshold_6,82550,year,HECS Threshold/Rate
calc_HECS,HECS_Threshold_7,86894,year,HECS Threshold/Rate
calc_HECS,HECS_Threshold_8,95626,year,HECS Threshold/Rate
calc_HECS,HECS_Threshold_9,101899,year,HECS Threshold/Rate
calc_HECS,HECS_Rate1,0.04,year,HECS Threshold/Rate
calc_HECS,HECS_Rate2,0.045,year,HECS Threshold/Rate
calc_HECS,HECS_Rate3,0.05,year,HECS Threshold/Rate
calc_HECS,HECS_Rate4,0.055,year,HECS Threshold/Rate
calc_HECS,HECS_Rate5,0.06,year,HECS Threshold/Rate
calc_HECS,HECS_Rate6,0.065,year,HECS Threshold/Rate
calc_HECS,HECS_Rate7,0.07,year,HECS Threshold/Rate
calc_HECS,HECS_Rate8,0.075,year,HECS Threshold/Rate
calc_HECS,HECS_Rate9,0.08,year,HECS Threshold/Rate
calc_HECS,num_thresholds,9,na ,Number of HECS Thresholds
calc_income_tax,medi_LI_threshold_S,21655,year,Medicare Levy Surchage
calc_income_tax,medi_PI_threshold_S,27068,year,Medicare Levy Surchage
calc_income_tax,medi_LI_threshold_P,36541,year,Medicare Levy Surchage
calc_income_tax,medi_PI_threshold_P,45676,year,Medicare Levy Surchage
calc_income_tax,medi_dep_LI_threshold,3356,year,Medicare Levy Surchage
calc_income_tax,medi_dep_PI_threshold,4195,year,Medicare Levy Surchage
calc_benefit_abated,work_for_the_dole,20.8,fortnight,Additional income for JSP recpients 
calc_family_benefit,fam_ftba_eoy_supp,726.35,year,End of year FTB A supplement per child 
calc_family_benefit,fam_ftba_eoy_incthreshold,200000,year ,End of year FTB A income threshold 
calc_family_benefit,fam_ftbb_eoy_supp,365,year,End of year FTB B supplement per family 
