function,Parameter,Value,period,Desc,Redundant
calc_HECS,HECS_Rate1,0.01,year,,
calc_HECS,HECS_Rate2,0.02,year,,
calc_HECS,HECS_Rate3,0.025,year,,
calc_HECS,HECS_Rate4,0.03,year,,
calc_HECS,HECS_Rate5,0.035,year,,
calc_HECS,HECS_Rate6,0.04,year,,
calc_HECS,HECS_Rate7,0.045,year,,
calc_HECS,HECS_Rate8,0.05,year,,
calc_HECS,HECS_Rate9,0.055,year,,
calc_HECS,HECS_Rate10,0.06,year,,
calc_HECS,HECS_Rate11,0.065,year,,
calc_HECS,HECS_Rate12,0.07,year,,
calc_HECS,HECS_Rate13,0.075,year,,
calc_HECS,HECS_Rate14,0.08,year,,
calc_HECS,HECS_Rate15,0.085,year,,
calc_HECS,HECS_Rate16,0.09,year,,
calc_HECS,HECS_Rate17,0.095,year,,
calc_HECS,HECS_Rate18,0.1,year,,
