function,Parameter,Value,period,Desc
calc_main_benefit,PP_S_athresh_mult,24.6,fortnight,"PPS increase in abatement, per extra child"
calc_main_benefit,PP_C_P_Threshold,979,fortnight,PPC Partner Income Threshold
calc_main_benefit,PP_C_I_Threshold_1,104,fortnight,PPC Individual Income Threshold 1 
calc_main_benefit,PP_C_I_Threshold_2,254,fortnight,PPC Individual Income Threshold 2
calc_main_benefit,PP_S_arate,0.4,fortnight,PPS abatement rate
calc_main_benefit,PP_C_arate_1,0.5,fortnight,PPC abatement rate 1
calc_main_benefit,PP_C_arate_2,0.6,fortnight,PPC abatement rate 2
calc_family_benefit,fam_base_threshold,98988,year,Base abatement threshold FTB-A
calc_family_benefit,fam_max_threshold,54677,year,Maximum rate first abatement threshold FTB-A
calc_family_benefit,fam_basic_pay,59.78,fortnight,Base rate payment Family Tax Benefit Part A
calc_family_benefit,fam_base_rate,0.1,year,Additional income abatement after crossing the base rate
calc_family_benefit,fam_max_rate,0.2,year,Abatement after crossing the max rate
calc_family_benefit,fam_a_highATI_rate,0.3,year,Alternative abatement when past base rate
calc_family_benefit,fam_b_threshold,100000,year,X
calc_family_benefit,fam_be_low_thresh,5694,year,X
calc_family_benefit,super_cont_rate,0.15,year,X
calc_family_benefit,fam_a_young_pay,186.2,fortnight,X
calc_family_benefit,fam_a_old_pay,242.2,fortnight,X
calc_family_benefit,fam_b_young_pay,158.34,fortnight,X
calc_family_benefit,fam_b_old_pay,110.6,fortnight,X
calc_benefit_abated,partner_thresh,1196,fortnight,X
calc_benefit_abated,partner_thresh_dep,1201,fortnight,X
calc_benefit_abated,partner_abate,0.6,fortnight,X
calc_HECS,HECS_Threshold_1,45880,year,
calc_HECS,HECS_Threshold_2,52973,year,
calc_HECS,HECS_Threshold_3,56151,year,
calc_HECS,HECS_Threshold_4,59521,year,
calc_HECS,HECS_Threshold_5,63092,year,
calc_HECS,HECS_Threshold_6,66877,year,
calc_HECS,HECS_Threshold_7,70890,year,
calc_HECS,HECS_Threshold_8,75144,year,
calc_HECS,HECS_Threshold_9,79652,year,
calc_HECS,HECS_Threshold_10,84432,year,
calc_HECS,HECS_Threshold_11,89498,year,
calc_HECS,HECS_Threshold_12,94868,year,
calc_HECS,HECS_Threshold_13,100560,year,
calc_HECS,HECS_Threshold_14,106593,year,
calc_HECS,HECS_Threshold_15,112989,year,
calc_HECS,HECS_Threshold_16,119769,year,
calc_HECS,HECS_Threshold_17,126955,year,
calc_HECS,HECS_Threshold_18,134573,year,
calc_HECS,HECS_Rate1,0.01,year,
calc_HECS,HECS_Rate2,0.02,year,
calc_HECS,HECS_Rate3,0.025,year,
calc_HECS,HECS_Rate4,0.03,year,
calc_HECS,HECS_Rate5,0.035,year,
calc_HECS,HECS_Rate6,0.04,year,
calc_HECS,HECS_Rate7,0.045,year,
calc_HECS,HECS_Rate8,0.05,year,
calc_HECS,HECS_Rate9,0.055,year,
calc_HECS,HECS_Rate10,0.06,year,
calc_HECS,HECS_Rate11,0.065,year,
calc_HECS,HECS_Rate12,0.07,year,
calc_HECS,HECS_Rate13,0.075,year,
calc_HECS,HECS_Rate14,0.08,year,
calc_HECS,HECS_Rate15,0.085,year,
calc_HECS,HECS_Rate16,0.09,year,
calc_HECS,HECS_Rate17,0.095,year,
calc_HECS,HECS_Rate18,0.1,year,
calc_income_tax,medi_LI_threshold_S,23365,year,
calc_income_tax,medi_PI_threshold_S,29206,year,
calc_income_tax,medi_LI_threshold_P,39402,year,
calc_income_tax,medi_PI_threshold_P,49252,year,
calc_income_tax,medi_dep_LI_threshold,3619,year,
calc_income_tax,medi_dep_PI_threshold,4523,year,
