function,Parameter,Value,period,Desc
calc_HECS,HECS_Rate5,0.035,year,HECS Threshold/Rate
calc_HECS,HECS_Rate6,0.04,year,HECS Threshold/Rate
calc_HECS,HECS_Rate7,0.045,year,HECS Threshold/Rate
calc_HECS,HECS_Rate8,0.05,year,HECS Threshold/Rate
calc_HECS,HECS_Rate9,0.055,year,HECS Threshold/Rate
calc_HECS,HECS_Rate10,0.06,year,HECS Threshold/Rate
calc_HECS,HECS_Rate11,0.065,year,HECS Threshold/Rate
calc_HECS,HECS_Rate12,0.07,year,HECS Threshold/Rate
calc_HECS,HECS_Rate13,0.075,year,HECS Threshold/Rate
calc_HECS,HECS_Rate14,0.08,year,HECS Threshold/Rate
calc_HECS,HECS_Rate15,0.085,year,HECS Threshold/Rate
calc_HECS,HECS_Rate16,0.09,year,HECS Threshold/Rate
calc_HECS,HECS_Rate17,0.095,year,HECS Threshold/Rate
calc_HECS,HECS_Rate18,0.1,year,HECS Threshold/Rate
calc_HECS,num_thresholds,18,na ,Number of HECS Thresholds
calc_income_tax,medi_LI_threshold_S,24276,year,Medicare Levy Surchage
calc_income_tax,medi_PI_threshold_S,30345,year,Medicare Levy Surchage
calc_income_tax,medi_LI_threshold_P,40939,year,Medicare Levy Surchage
calc_income_tax,medi_PI_threshold_P,51174,year,Medicare Levy Surchage
calc_income_tax,medi_dep_LI_threshold,3760,year,Medicare Levy Surchage
calc_income_tax,medi_dep_PI_threshold,4700,year,Medicare Levy Surchage
calc_benefit_abated,work_for_the_dole,20.8,fortnight,Additional income for JSP recpients 
calc_family_benefit,fam_ftba_eoy_supp,916.15,year,End of year FTB A supplement per child 
calc_family_benefit,fam_ftba_eoy_incthreshold,80000,year ,End of year FTB A income threshold 
calc_family_benefit,fam_ftbb_eoy_supp,448.95,year,End of year FTB B supplement per family 
